NOMBRE	GENERO	AÑO	PORCENTAJE VISTO	DIA 	RATING IMDb	RATING MIO	TIPO	Notas
Argo	Drama	2012	100%	23/3/20	7.7	8	PELICULA	
Blue Valentine	Romance	2010	100%	10/4/20		8	PELICULA	Me hizo reir
Bombshell	Drama	2019	100%	3/4/20	6.8	7	PELICULA	Me asusté
Brokeback Mountain	Romance	2005	100%	22/3/20	7.7	6	PELICULA	
El Hoyo	Drama	2019	100%	27/3/20	7	7	PELICULA	
Euphoria	Drama	2019	25%		8.3	4	SERIE	
Friends	Comedia	1994	50%		8.9	7	SERIE	Me quedé dormida
Hail Satan?	Documental	2019	100%	9/4/20		7	PELICULA	
Homeland	Crimen	2011	50%		8.3	9	SERIE	Me hizo llorar
How to lose a guy in ten days	Comedia	2003	25%	28/3/20	6.4	7	PELICULA	
Insomnia	Terror	1997	100%	29/3/20	7.3	6	PELICULA	
La Casa de Papel	Acción	2017	75%		8.5	7	SERIE	
Making the cut	Reality	2020	100%		6.7	10	SERIE	
Match Point	Romance	2005	100%	22/3/20	7.6	5	PELICULA	
Modern Love	Romance	2019	100%		8.0	10	SERIE	Me asusté
Notting Hill	Romance	1999	75%	28/3/20	7.1	4	PELICULA	Me quedé dormida
Parasite	Drama	2019	100%	26/3/20	8.6	9	PELICULA	Me hizo llorar
Prison Break	Acción	2005	25%		8.3	10	SERIE	Me quedé dormida
Steve Jobs	Biográfica	2015	100%	26/3/20	7.2	5	PELICULA	Me quedé dormida
Taxi Driver	Crimen	1973	100%	7/4/20	8.3	6	PELICULA	Me quedé dormida
The autopsy of Jane Doe	Terror	2016	100%	25/3/20	6.8	8	PELICULA	
The Evil Next Door	Documental	2019	100%		7.6	8	SERIE	
The Innocence Files	Documental	2020	50%		8.1	8	SERIE	
The Insult	Drama	2017	25%	8/4/20		6	PELICULA	
The Invisible Man	Terror	2020	100%	6/4/20	7.2	4	PELICULA	
The Pursuit of Happyness	Drama	2006	100%	2/4/20	8	9	PELICULA	
The Secret Life of Walter Mitty	Comedia	2013	100%	1/4/20	7.3	5	PELICULA	Me quedé dormida
This is us	Comedia	2016	25%		8.7	6	SERIE	Me hizo llorar
Tickled	Documental	2016	100%	5/4/20	7.6	6	PELICULA	
Tiger King	Documental	2020	100%		7.7	7	SERIE	
Unorthodox	Drama	2020	100%		8.1	6	SERIE	
Widows	Drama	2018	25%	23/3/20	6.9	7	PELICULA	
Years & Years	Sci-Fi	2019	50%		8.4	5	SERIE	
